Address,Address Tag,Type,Token Balance,Percentage,Txhash,DateTime,Value,Transfer Type
0x8be01e559b70b70431903ddb55e04c129af000e6,-,Eoa,"4,109,544.41",0.05%,0xd0af97f80369d0798fce99c67404397fa3f2b55459381f5af9c6d936d2770377,2023-12-20 09:55:47,"$244,111.95",out
0xcc78a24926dbd0bc6349ad223e20416fbfc2f66c,-,Eoa,"4,065,654.20",0.05%,0x271759cc30b19b72444262bcb5e9160816761705bbe6177e5970c0434f5606b3,2023-12-18 15:21:56,"$220,338.72",in
0xbad08c72e10767f752abaf62de644cf468ca566d,-,Eoa,"4,016,223.37",0.05%,0x419ef6c819b96079eff6ea76a9856deb206407522f92bd71a324b66ee8d9a6c8,2023-12-20 09:56:41,"$244,112.68",out
0xadc2bdc880659176d2d5259cb791e861498ac770,-,Eoa,"4,016,208.15",0.05%,0x6cb4455918f0db234467c46aafa136a78a0e9c8480518ba0e835e940cd32298d,2023-12-20 09:56:20,"$244,112.43",out
0x5f63e4f12d5c6bcea8c16d531eca2db3db068c02,-,Eoa,"4,006,815.59",0.05%,0x4b6a33e4c7ae3a7648bf2f46dbadb3b109627ed74021725ea81e75818f00acfc,2023-05-14 13:44:36,"$996,310.00",out
0xdc0b57380a6ef8ea46a2b068f1cbafa0b1737e4f,-,Eoa,"3,920,760.41",0.05%,,,,
0xbf957e1c121fa769580d29bf320ee8bff138ad12,Cobo.com:Custody,Eoa,"3,915,629.87",0.05%,0xcad893988bf5309fed52dd7d46ff51098dd5b106cd68d4dcc949ab527f0cd7d7,2024-08-05 02:04:43,"$13,921.92",out
0xa1626dd74d6d1e6ea1cb006b99f20c088a87c2db,-,Eoa,"3,879,185.47",0.05%,0x84353812bb36a85abc91efab058639381af4a22feb54c3a41f31e090f5ca4d12,2024-07-24 15:59:48,"$667,527.03",out
0xe70b8dc28e795738a772379e9d456e7d74f50ab5,CoinEx,Eoa,"3,863,153.84",0.05%,0x2eb8948ea063aa6f28ff896271d95e637cc17565956656f324c2c850130835aa,2024-08-05 02:09:13,"$35,712.50",in
0xab33e891687f9a67785a2df84834f954f0ee469e,-,Eoa,"3,800,010.00",0.05%,0xdee138a38a6bacc584b0c3c2bc4e58bc52188b947f2e37ad165788e01cdfee58,2022-06-27 15:21:51,"$498,154.50",in
0xef1eeb45ca8b36eec92e88b59f14198da2bffac3,-,Eoa,"3,752,391.67",0.05%,,,,
0x7f16639780aa0f1ae673a488d72737cc76dc4051,-,Eoa,"3,752,372.15",0.05%,,,,
0x1a34f9f7a8252a9381cec640a1c03355bdead42b,-,Eoa,"3,718,337.63",0.05%,0x82c4524434c3e14f6a3afa4858905c333221d2bdd73e9180946e52525247cefe,2024-05-01 22:34:34,"$1,620,684.45",in
0xe45a9bde2446ae7dc5fde1fd306e8865f00d2fdc,-,Eoa,"3,644,859.41",0.05%,0x430bc978d3bef02a3db95634ac4253aebb22bebf170e9003250a46d51606db5d,2023-12-20 09:57:53,"$244,113.90",out
0xb9a7a0737327e676c086fa9c35ddfb880cb2d237,-,Eoa,"3,644,841.72",0.05%,0x1764d81b9b2e7294f3f35f1e228ef03870914617fde77d0561995b622f3c2c5c,2023-12-20 09:57:23,"$244,113.17",out
0x9935aa1b263addcc6dd894273183a7080724d1af,-,Eoa,"3,627,703.36",0.05%,,,,
0x7bf2431524a894a516db93e85427674beaf674ae,-,Eoa,"3,625,236.46",0.05%,0xc594760c0671c82964f97deba88c594a5c203c960b2d035054b1f749c1bdf00b,2024-01-17 13:54:36,"$145,875.29",out
0xd4e6ab4549ae44cbdc9147cba756be8ef82b73cf,-,Eoa,"3,550,519.48",0.05%,,,,
0x1ef2fefb50ecf5ecb665e3403233186c0686e2cd,-,Eoa,"3,550,511.52",0.05%,0x1e94998dfca93179423f120c3f89822a932ee265888cf87c9aa066d38f07c16f,2023-12-20 09:57:29,"$244,113.41",out
0x1fd3f6cb433b79e066256710c4dad7fc1c85f779,-,Eoa,"3,549,946.20",0.05%,,,,
0x0a639cb00c44705409c32b0f01f16bbc3b3c26eb,-,Eoa,"3,469,305.52",0.04%,0xd5b221d51c961484c6b0882d34fbf20ee9187def0f2ff2b3d5306cff78af13cd,2024-01-27 02:52:22,"$280,363.35",out
0xbc1a333192def2c9fa988b5669d9eb3148cfce4c,-,Eoa,"3,458,175.38",0.04%,0xf60bfdb89a09425ef9a187ddee95c140bcc0c257152fad7eb6af59fa9bdd2ef9,2023-12-20 10:43:47,"$244,114.63",out
0x16cdfdad28d84ab2334a8e74a48beb353e33cf8c,-,Eoa,"3,456,180.66",0.04%,,,,
0x08c8cb69e2c72bb2a6955334cc3475200d0890b6,-,Eoa,"3,363,835.55",0.04%,,,,
0x4e83dd101e2596c39a4b44c203ab07c636023157,-,Eoa,"3,362,945.88",0.04%,0x5d7292422aa9247191acc27b24a7645d3fb3b40e41f2e6fa98d12026e8a55799,2023-12-20 09:58:02,"$244,114.14",out
0xce30537a0e81795a4142110b46060eb05c987c70,-,Eoa,"3,351,272.45",0.04%,,,,
0xf5e79b5f0c41909883f074d9a329a000ca2af3a3,-,Eoa,"3,325,175.94",0.04%,,,,
0x055a3b37957bfbd3345bed9968e7e8dd56d67066,-,Eoa,"3,312,851.04",0.04%,0x9f46eecbad7e18c1cb0223b462ec2263d04483e531f0c6cb4617f1e6999b7005,2024-08-05 01:48:19,"$13,893.53",in
0x0848db7cb495e7b9ada1d4dc972b9a526d014d84,-,Eoa,"3,297,736.28",0.04%,,,,
0xfd81e0d7491592eca70283f3119eba306757f229,-,Eoa,"3,286,775.20",0.04%,,,,
0xe547c8ceed9ee57639d18de9e6b2f618945dfeaa,-,Eoa,"3,270,489.89",0.04%,,,,
0xad75eb010c2e70b9ec536637f6ea7793ec71e09a,-,Eoa,"3,270,377.88",0.04%,,,,
0xfe6d9af579deccebfc2d8d366c3d667adb696b32,-,Eoa,"3,266,737.79",0.04%,,,,
0x0a072619e5e5ebfc7d432db3f57bb63a0fc27bfd,Swapster,Eoa,"3,260,153.35",0.04%,,,,
0xb225bfe30aab7214274c33555ce01d2bdc29188a,-,Eoa,"3,259,319.56",0.04%,,,,
0x56b1c4f078c05c0e4f21f2803d1139e21bc67525,Binance Deposit Address,Eoa,"3,249,485.65",0.04%,,,,
0x122ccc643c9f9ef8aeda9121dab70b100af8dce0,-,Eoa,"3,233,000.38",0.04%,,,,
0x284d6649c84edb99daf8b7fe62492d699c3fbc2f,-,Eoa,"3,200,000.00",0.04%,,,,
0xdb42cee725a3e134e9e3ba742506f0ceef8b1a0f,Binance Deposit Address,Eoa,"3,199,999.99",0.04%,,,,
0x4b14bdc6c1cfd2ec9e947c31e12b8cf6d26e3e75,-,Eoa,"3,180,503.80",0.04%,,,,
0xdc67990fd392b3050936f9aa4cdd8664540d2faf,-,Eoa,"3,178,176.10",0.04%,,,,
