Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Amount,From,To,Transfer Type,沉淀地址
0x367a739ccc69940af740590a7d533ef8f96f282a,-,Eoa,"424,946.87",0.10%,2024/8/10 9:02,0xf590ee3e68337e36df500282b585c04c9d423c8e943e0d7b9932a43656560f78,73358.73104,0x896d9b9eee18f6c88c5575b78247834029375575,0x367a739ccc69940af740590a7d533ef8f96f282a,in,
0xace5904631ee0c5ddb945a77c3c3b8c280a01e6f,-,Eoa,"417,855.55",0.10%,2024/8/11 7:39,0xc9a4c8e6ac6b46dde4561de37d680a1814ca939446692901cada8d43c99b168c,56424.31347,0xace5904631ee0c5ddb945a77c3c3b8c280a01e6f,0x889f57d0165644bef78276b3717ab4b71be9c856,out,
0x521ace5e7e97d89894fd3240e3cb5d3d5f6a47c0,-,Eoa,"402,813.18",0.10%,2024/8/3 13:09,0x3f6b4864700ce767d27aed7a6cb0f018c28a8e721e9d6142aedff74e163784a8,400000,0x521ace5e7e97d89894fd3240e3cb5d3d5f6a47c0,0x99da02cbf6f8686e2f39494fc5a86eb4de452918,out,
0x7ef2d7b88d43f1831241f0dd63e0bdef048ba8ac,Cobo.com:Custody,Eoa,"400,035.77",0.09%,2024/8/10 1:51,0x701e85e1873fb25f53d2361fab8fb940e3b1d6e5f189090d8e55fe6267be0476,150075,0x7ef2d7b88d43f1831241f0dd63e0bdef048ba8ac,0x0e83ec2a764f726876797129ead468b1a886cdcc,out,
0xc9aaa6ca0e05b87d53a3e51edbc44b406eeaf299,Coinbase,Eoa,"395,241.89",0.09%,2024/8/12 4:06,0xd682a0272edb7c309a58a6261261ad65470ab3451bab6ae34428dc50ada2da7c,18772.31699,0xc9aaa6ca0e05b87d53a3e51edbc44b406eeaf299,0x2afc41a2da36244a82e672c270814213f839be1a,out,
0x2db1d8cdf1abe8c70b531a790cdf2ff38aecf652,-,Eoa,"386,421.20",0.09%,2024/8/11 1:15,0xa65b16eb1408dcb60e44894d84143f44df1535673516b1bb123f101bbcacf622,79605.81913,0x389505f098a29a994a3ed0e674f07cd451dde42c,0x2db1d8cdf1abe8c70b531a790cdf2ff38aecf652,in,
0xe86f3aaa57f63b2afeca68178182a91bc3909962,Coinbase:Hot Wallet,Eoa,"371,219.56",0.09%,2024/8/12 5:06,0xecb109954c7ba31d5cd726ac6dc50f0902215b2df5dcb728f564823c6b1fe774,13320.31568,0xe86f3aaa57f63b2afeca68178182a91bc3909962,0x66686f69e01701ce09f180d19b394cb905b6513d,out,
0xead4f9ecaa5d984a3b1a07cc4a3da65ce24bfe39,-,Eoa,"366,255.15",0.09%,2024/5/31 12:18,0x257e3089b6ecacec6a45f07f7736a51b18f7b81c1a5be86cd26eef86a3451155,39794,0xead4f9ecaa5d984a3b1a07cc4a3da65ce24bfe39,0x2c77b47580f6a36fa1a367c833d9f5fecddb101a,out,
0x643934875ddd77d18ccf3ff7ce5ea36621ae33ca,-,Eoa,"347,921.77",0.08%,2024/8/9 20:41,0xa91efd0f6692be9c2b8fd0165b0efaca88ea4641e7f91345d0de61202e3eb192,99990.01451,0x4b6f17856215eab57c29ebfa18b0a0f74a3627bb,0x643934875ddd77d18ccf3ff7ce5ea36621ae33ca,in,
0x5879dc942cd569d150c0eceac3b1834b01f87f85,-,Eoa,"338,142.89",0.08%,2024/8/9 15:44,0x022dffcad9e91b710434b6f7c6d9aec4c3eeaa7fee619aeb7396b24a3f1435ba,330000,0x5879dc942cd569d150c0eceac3b1834b01f87f85,0x7b616e4fdbdd851983d437e35578f2b5b013cca7,out,
