Address,Address Tag,Type,Token Balance,Percentage,Date Times,Txhash,Value (USD),From,To,Transfer Type,沉淀地址
0xb8cbbf78c7ad1cdf4ca0e111b35491f3bfe027ac,Bitpanda,Eoa,"7,909,514.03",0.07%,2024/5/27 9:09,0x66d0dc9c7e57edcd14fe1a5b709f861a293a6c4644dd000cf248f703ada8318e,581614.2,0xfa1b95b2faf6fa440c0650045b769f4b9197e250,0xb8cbbf78c7ad1cdf4ca0e111b35491f3bfe027ac,in,
0x3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61,Uphold,Eoa,"6,832,507.36",0.06%,2024/8/9 10:17,0x9c81552c852b155b5a8300f1cd5dc1f249942df4f5ab3b5dd7e97d22e742510e,17330.50097,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x3d8fc1cffaa110f7a7f9f8bc237b73d54c4abf61,in,
0x4fdfe365436b5273a42f135c6a6244a20404271e,-,Eoa,"5,355,008.19",0.05%,2024/8/8 7:40,0x97a3f7a7699242a124795239b2e7d3785428b4b395beaa56eca377894a34a993,23256.8619,0x4fdfe365436b5273a42f135c6a6244a20404271e,0x1f4423ec8a613071ebafdc3eaa7ea1fde3d442f5,out,
0x9ddc8c088bcb464e402484effad3d56a70643446,-,Eoa,"5,006,525.15",0.04%,2024/7/2 23:09,0x5f20192b359ea58409ea123082288190fd063b44f5cd285c1b7d3741cb2eed77,338597.67,0x9ddc8c088bcb464e402484effad3d56a70643446,0x0000000000000000000000000000000000001010,out,
0x4e83124ed15b13265240b61ec9627797cce1032e,-,Eoa,"5,000,169.30",0.04%,2024/5/27 16:44,0xba1da086625e24961edc3917f1a8203710c5ff3aaa730509b0c4054dc979a9b5,1693200,0x4e83124ed15b13265240b61ec9627797cce1032e,0x2e188bdc94badebdf751bb133accf4ff67cc4ce1,out,
0xf639d88a89384a4d97f2ba9159567ddb3890ea07,Nobitex.ir,Eoa,"4,615,477.11",0.04%,2024/3/11 5:32,0xd11d314c62f0207818debf53ed7d7f984dd78afbb75c3a73075a8bf9281af099,312285.7625,0xf639d88a89384a4d97f2ba9159567ddb3890ea07,0x641fb555527b9108a1f58ea24e0c04ff86c4ed0d,out,
0x86523c87c8ec98c7539e2c58cd813ee9d1a08d96,-,Eoa,"4,544,306.96",0.04%,2024/7/24 9:41,0x5697027d3554241ef8586c77e2407c59df4da80f9842b13d60050d0f26837b11,126990,0x86523c87c8ec98c7539e2c58cd813ee9d1a08d96,0x1f4423ec8a613071ebafdc3eaa7ea1fde3d442f5,out,
0x44d56e85db6b600abe601b5ac2c10567e6cfd954,-,Eoa,"4,000,199.96",0.03%,2024/7/22 19:48,0xb7155f5cf17634f4590c7507c5bb0a9cf70c426861e3d610d6e1280ae032eca2,529167.3213,0x44d56e85db6b600abe601b5ac2c10567e6cfd954,0x0d500b1d8e8ef31e21c99d1db9a6444d3adf1270,out,
0x62eda75593985f4a29391c322d822b4f0a85bc75,-,Eoa,"3,565,885.00",0.03%,2024/8/5 11:09,0xf0061dfff60dfd4e442246a7c55f2bae62e631966c6bcc825f7828a6fc0cf3ad,1365879.042,0x62eda75593985f4a29391c322d822b4f0a85bc75,0x8a63dbaeb1b7e49e12a6b8bf0eb9fa976af24e87,out,
0xaf1d3ed13a11126d638e15512419abb1fa1f8294,Bithumb:Hot Wallet,Eoa,"3,394,818.54",0.03%,2024/8/12 0:16,0x7e24775086ac72338d77fdd9115f80d1cd949e0ebefe41d1ec0ad40924c8420a,20044.5249,0xaf1d3ed13a11126d638e15512419abb1fa1f8294,0x9c5bef7dbc22d4b667cef270ecf7f30ffd9f6c19,out,
0x91dca37856240e5e1906222ec79278b16420dc92,Indodax,Eoa,"3,284,850.17",0.03%,2024/3/25 7:28,0x266df35abb7fcb2dcc75f461d5ad4120f354890c2566506a57fa119c80a2d38a,237278.6985,0x51836a753e344257b361519e948ffcaf5fb8d521,0x91dca37856240e5e1906222ec79278b16420dc92,in,
0x7c7379531b2aee82e4ca06d4175d13b9cbeafd49,-,Eoa,"3,148,071.66",0.02%,,,0,,,,
