Address,Address Tag,Token Balance,Percentage,Token
0x4c4871e1c48bc7c1e86d9cf3d41846e9a2c24c36,Bearn Defi Protocol: Deployer,2401.12,0.00%,BNB
0xec9fbb8ee682f734c5d517b8c09d0469a1d70c26,Binance Deposit Address,2400,0.00%,BNB
0xf4271f1c5aba50b9c18d229311fd22c4cc7b70b6,-,2387.86,0.00%,BNB
0x3d6d3bdb99bfb1c80941f5c06f9a567e85f3ee1e,-,2385.46,0.00%,BNB
0x6d0d707bdb4ff3e8a0ec5442b993e4cb1fc10e7a,-,2358.79,0.00%,BNB
0xcff73d67cc29e51cf88f7e647a700ecd8cf9e499,-,2355.76,0.00%,BNB
0x563ac97c5c1748884b43061ac09b8abcc7b19105,-,2341.56,0.00%,BNB
0x366b523317cc95b1a4d30b33f8637882825c5e23,-,2338.45,0.00%,BNB
0xa8c14313c05dbdac835a055db3f1cd93c2837ca9,-,2336.38,0.00%,BNB
0xa089b8de0ea45db84ccade5751ee165a88f90b4f,-,2333.64,0.00%,BNB
0x497849ce009e79735881e94f494bb406762f426f,-,2317.37,0.00%,BNB
0x65a72a173552a4741ce0cd4d3fa51f9e3170474c,-,2310.96,0.00%,BNB
0x29a01b69e538d2d2a01ba2f27839db51a1f3d254,-,2303.35,0.00%,BNB
0xff631e016c56b34f899b613983fed254ea02691b,-,2302.16,0.00%,BNB
0xef85dbf7b3d8c4b36cfaaac70ef5bb87e856cce0,-,2297.12,0.00%,BNB
0x21e5e54c2ca97cc16f2b2c11b3d822ce24f815df,-,2277.25,0.00%,BNB
0xba5c1df31dff25147fd4f357b8ca9d34e620008e,-,2272.69,0.00%,BNB
0x176f3dab24a159341c0509bb36b833e7fdd0a132,Justin Sun,2259.84,0.00%,BNB
0xe2ec417e8bd333429405f88941e5ce118b27f632,-,2231.66,0.00%,BNB
0xccb65a43bfe271889c4bf78ad7ef716ad9fc90e3,-,2224.7,0.00%,BNB
0x8981719514365e1785954e7cab3fa3062fb9914b,-,2213.65,0.00%,BNB
0xd81c2dc0b73685a282cfcc68956e554020573adc,-,2201.86,0.00%,BNB
0x1454f323cd1b40df4d274f72f36c882d80738a85,Binance Deposit Address,2200,0.00%,BNB
0x0d2f3f3233ee68a37db363804184b3ff2622d4d9,-,2199.99,0.00%,BNB
0xfb088f46bcbc8ce8f6a10c22071110c80628b3af,-,2181.72,0.00%,BNB
0x7f8618cc86885e5e6c6ef356e93dde202b27742b,-,2178.19,0.00%,BNB
0xa3f5396b80effa6a226bcbb51a1f1ae61e2421e3,-,2161.54,0.00%,BNB
0xda7c852df594b79e1e8d8004d0bb822587e47725,Bybit Deposit Address,2157.55,0.00%,BNB
0x4cfe607c38c74243eb47ecf22f6d9773ca9b981c,-,2149.16,0.00%,BNB
